RADICADO,FECHA 1,HORA,DÍA DE LA SEMANA,CLASE,DIRECCIÓN,GRAVEDAD,BARRIO,DISEÑO
8636,2011-06-30,9:50:00,JUEVES,CHOQUE,CARRERA 45 X CALLE 134 SUR LA VARIANTE,HERIDOS,LA VARIANTE,INTERSECCION
8637,2011-07-01,3:00:00,VIERNES,CHOQUE,CALLE 128 SUR X CARRERA 45 LA VARIANTE,HERIDOS,LA VARIANTE,TRAMO DE VIA
8638,2011-07-02,11:00:00,SABADO,CHOQUE,CARRERA 49 X CALLE 129 SUR PARQUE PRINCIPAL,DAÑOS,CENTRO,TRAMO DE VIA
8639,2011-07-01,2:30:00,VIERNES,ATROPELLO,DIAGONAL 53 X CALLE 127 SUR ESCUELA JOAQUIN ARISTIZABAL,HERIDOS,LA DOCENA,TRAMO DE VIA
8640,2011-06-30,11:55:00,JUEVES,CHOQUE,CARRERA 50 X KILOMETRO 42 VIA MEDELLIN LA PINTADA,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8641,2011-07-05,7:50:00,MARTES,ATROPELLO,CARERRA 50 X KILOMETRO 52 VEREDA LA CALLE,HERIDOS,LA CALLE,TRAMO DE VIA
8642,2011-07-07,8:30:00,JUEVES,CHOQUE,CALLE 136 SUR X CARRERA 49 EL CEMENTERIO,HERIDOS,CRISTO REY,TRAMO DE VIA
8643,2011-07-07,10:30:00,JUEVES,CHOQUE,CARRERA 50 X CALLE 142 SUR EL CAFETAL,HERIDOS,LOS CEREZOZ,TRAMO DE VIA
8644,2011-07-10,12:30:00,DOMINGO,CHOQUE,CALLE 121 SUR 48- A 15,DAÑOS,LA INMACULADA,TRAMO DE VIA
8645,2011-07-09,8:00:00,SABADO,CHOQUE,CARRERA 45 X CALLE 128 SUR LA VARIENTE,HERIDOS,LA VARIANTE,TRAMO DE VIA
8646,2011-07-10,7:00:00,DOMINGO,ATROPELLO,CARRERA 50 X KILOMETRO 54 LA MANSA PRIMAVERA,HERIDOS,PRIMAVERA,TRAMO DE VIA
8647,2011-06-25,1:00:00,SABADO,CHOQUE,CARRERA 50 X KILOMETRO 43 VIA CALDAS LA PINTADA,HERIDOS,ALTO DE MINAS,TRAMO DE VIA
8648,2011-07-17,12:45:00,DOMINGO,ATROPELLO,CARRERA 53 X CALLE 129 SUR PARQUE LA LOCERIA,MUERTOS,PARQUE LA LOCERIA,TRAMO DE VIA
8649,2011-07-13,11:20:00,MIERCOLES,ATROPELLO,CARRERA 45 X CALLE 128 LA VARIANTE,HERIDOS,LA VARIANTE,TRAMO DE VIA
8650,2011-07-16,5:30:00,SABADO,CHOQUE,CARRERA 50 X CALLE 110 SUR LA RAYA,HERIDOS,LA RAYA,TRAMO DE VIA
8651,2011-07-16,6:20:00,SABADO,CHOQUE,CARRERA 50 X CALLE 117 SUR LA RAYA,DAÑOS,LA RAYA,TRAMO DE VIA
8652,2011-07-12,6:50:00,MARTES,CHOQUE,CARRERA 50 X CALLE 131 SUR CONSUMO,DAÑOS,CONSUMO,TRAMO DE VIA
8653,2011-07-13,11:20:00,MIERCOLES,CHOQUE,CARRERA 50 X CALLE 143 SUR  EL CAFETAL,HERIDOS,LOS CEREZOZ,INTERSECCION
8654,2011-07-12,10:40:00,MARTES,CHOQUE,CALLE 128 SUR X CARRERA 46 BARRIO SAN JUDAS,DAÑOS,CENTRO,TRAMO DE VIA
8655,2011-07-13,7:00:00,MIERCOLES,CAIDA OCUPANTE,CARRERA 50 X KILOMETRO 51 VEREDA LA CLARA CALDAS,HERIDOS,LA CLARA,TRAMO DE VIA
8656,2011-07-14,9:40:00,JUEVES,CAIDA OCUPANTE,CARRERA 54 X CALLE 129 SUR PARQUE LA LOCERIA,HERIDOS,PARQUE LA LOCERIA,INTERSECCION
8657,2011-07-15,8:00:00,VIERNES,ATROPELLO,CARRERA 50 X CALLE 144 TRICENTENARIO,HERIDOS,TRICENTENARIO,TRAMO DE VIA
8658,2011-07-17,4:05:00,DOMINGO,CHOQUE,CARRERA 50 X CALLE 122 SUR  LA RAYA INMACULADA,DAÑOS,LA INMACULADA,TRAMO DE VIA
8659,2011-07-18,4:00:00,LUNES,ATROPELLO,CARRERA 50 X KILOMETRO 54 PRIMEVERA,HERIDOS,PRIMAVERA,INTERSECCION
8660,2011-07-17,10:30:00,DOMINGO,CHOQUE,CARRERA 44 X CALLE 126 SUR,DAÑOS,LAS MARGARITAS,TRAMO DE VIA
8661,2011-07-17,3:30:00,DOMINGO,CHOQUE,CARRERA 45 X CALLE 117 SUR 887,DAÑOS,LA VARIANTE,PUENTE
8662,2011-07-18,3:00:00,LUNES,CHOQUE,CARRERA 50 X CALLE 117 SUR LA RAYA,DAÑOS,LA RAYA,TRAMO DE VIA
8663,2011-07-18,9:35:00,LUNES,CHOQUE,CARRERA 50 X CALLE 147 SUR BOMBA ZEUSS PRIMEVERA,DAÑOS,PRIMAVERA,TRAMO DE VIA
8664,2011-07-21,7:50:00,JUEVES,CHOQUE,CALLE 129 SUR X CARRERA 53 LA LOCERIA,DAÑOS,PARQUE LA LOCERIA,TRAMO DE VIA
8665,2011-07-23,6:06:00,SABADO,ATROPELLO,CARRERA 48 X CALLE 127 SUR,HERIDOS,CENTRO,INTERSECCION
8666,2011-07-21,12:30:00,JUEVES,CHOQUE,CARRERA 49 X CALLE 135 SUR HOSPITAL,DAÑOS,HOSPITAL,INTERSECCION
8668,2011-07-22,3:00:00,VIERNES,VOLCAMIENTO,CARRERA 45 X KILOMETRO 57 LA VARIANTE,HERIDOS,LA VARIANTE,TRAMO DE VIA
8669,2011-07-24,5:00:00,DOMINGO,ATROPELLO,CARRERA 50 X KILOMETRO 51 VIA VEREDA LA SALADA,HERIDOS,LA SALADA,TRAMO DE VIA
8670,2011-07-24,7:30:00,DOMINGO,CHOQUE,CARRERA 50 X KILOMETRO 51 EL SENA,DAÑOS,EL SESENTA,TRAMO DE VIA
8671,2011-07-22,7:00:00,VIERNES,CHOQUE,CARRERA 50 X KILOMETRO 91 VIA PRIMAVERA AMAGA,DAÑOS,LA TOLVA,TRAMO DE VIA
8672,2011-07-26,9:40:00,MARTES,CHOQUE,CALLE 128 SUR X CARRERA 45 LA VARIANTE,HERIDOS,LA VARIANTE,TRAMO DE VIA
8673,2011-08-01,4:10:00,LUNES,ATROPELLO,CARRERA 50 X CALLE 108 LA RAYA,HERIDOS,LA RAYA,TRAMO DE VIA
8674,2011-07-30,2:50:00,SABADO,CHOQUE,CALLE 134 SUR X CARRERA 44-40,DAÑOS,LA CORRALITA,TRAMO DE VIA
8675,2011-07-30,10:40:00,SABADO,ATROPELLO,CARRERA 50 X CALLE 126,HERIDOS,LAS MARGARITAS,TRAMO DE VIA
8676,2011-08-03,12:00:00,MIERCOLES,ATROPELLO,CARRERA 50 x calle 138 sur 151,HERIDOS,CRISTO REY,TRAMO DE VIA
8677,2011-07-25,7:30:00,LUNES,CHOQUE,CARRERA 50 X KILOMETRO 45 VIA LA PINTADA MEDELLIN,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8678,2011-08-03,8:00:00,MIERCOLES,OTRO,CARRERA 50 X KILOMETRO 47 VIA LA PINTADA CALDAS,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8679,2011-08-04,10:00:00,JUEVES,ATROPELLO,CARRERA 50 X CALLE 139 ESQUINA FEDERICO ANGEL,HERIDOS,CRISTO REY,TRAMO DE VIA
8680,2011-07-18,6:25:00,LUNES,CHOQUE,CARRERA 50 X KILOMETRO 52 VIA CALDAS LA PINTADA,HERIDOS,ALTO DE MINAS,TRAMO DE VIA
8681,2011-08-06,9:30:00,SABADO,CHOQUE,CARRERA 45 X CALLE 128 SUR LA VARIANTE,HERIDOS,LA VARIANTE,INTERSECCION
8682,2011-08-04,1:20:00,JUEVES,CHOQUE,CARRERA 45 LA VARINATE VIA CALDAS,DAÑOS,LA VARIANTE,TRAMO DE VIA
8683,2011-08-04,2:40:00,JUEVES,CHOQUE,CALLE 135 SUR X CARRERA 50 BARRIO CRISTO REY,DAÑOS,CRISTO REY,TRAMO DE VIA
8684,2011-08-06,1:10:00,SABADO,ATROPELLO,CARRERA 50 X CALLE 119 SUR LA RAYA,HERIDOS,LA RAYA,TRAMO DE VIA
8685,2011-08-05,12:30:00,VIERNES,CHOQUE,CARRERA 50 X CALLE 133 SUR ESQUINA DE PITUFOS,DAÑOS,CENTRO,TRAMO DE VIA
8686,2011-08-07,11:00:00,DOMINGO,CHOQUE,CARRERA 50 X CALLE 117 SUR LA RAYA,HERIDOS,LA RAYA,TRAMO DE VIA
8687,2011-08-06,9:30:00,SABADO,ATROPELLO,CALLE 134 SUR X CARRERA 45,HERIDOS,LA VARIANTE,TRAMO DE VIA
8688,2011-08-06,5:30:00,SABADO,CHOQUE,CARERRA 45 X KILOMETYRO 57 LA VARINATE,HERIDOS,LA VARIANTE,TRAMO DE VIA
8689,2011-08-07,8:00:00,DOMINGO,CHOQUE,CALLE 133 SUR X CARRERA 50 ESQUINA LOS PITUFOS,DAÑOS,CENTRO,TRAMO DE VIA
8690,2011-08-08,5:00:00,LUNES,ATROPELLO,CARRERA 50 X KILOMETRO 51 VEREDA LA CLARA,HERIDOS,LA CLARA,TRAMO DE VIA
8691,2011-08-09,5:00:00,MARTES,CHOQUE,CARRERA 50 X KILOMETRO 57,DAÑOS,LA VARIANTE,TRAMO DE VIA
8692,2011-08-09,7:30:00,MARTES,CHOQUE,CARRERA 45 X KILOMETRO 3 + 870 VIA CALDAS MEDDELLIN,DAÑOS,LA VARIANTE,TRAMO DE VIA
8693,2011-08-10,12:40:00,MIERCOLES,ATROPELLO,CARRERA 50 X CALLE 128 SUR PARQUE,HERIDOS,CENTRO,TRAMO DE VIA
8694,2011-08-08,1:30:00,LUNES,CHOQUE,CARRERA 50 X KILOMETRO 49 + 80 VIA CALDAS PINTADA,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8695,2011-08-11,7:30:00,JUEVES,ATROPELLO,CARRERA 50 X CALLE 122 SUR,HERIDOS,LA INMACULADA,TRAMO DE VIA
8696,2011-08-11,12:05:00,JUEVES,ATROPELLO,CARRERA 51 X CALLE 129 SUR LA CASONA,HERIDOS,CENTRO,TRAMO DE VIA
8697,2011-08-14,12:15:00,DOMINGO,ATROPELLO,CALLE 129 SUR X CARRERA 55 BARRIO LA PLANTA-LOCERIA,HERIDOS,PARQUE LA LOCERIA,TRAMO DE VIA
8698,2011-08-13,5:25:00,SABADO,ATROPELLO,CARRERA 50 X CALLE 113 SUR 108,HERIDOS,LA RAYA,INTERSECCION
8699,2011-08-13,2:50:00,SABADO,ATROPELLO,CARRERA 50 X CALLE 119 LA RAYA SECTOR LA SALLE,HERIDOS,LA RAYA,TRAMO DE VIA
8700,2011-08-15,4:40:00,LUNES,CHOQUE,CARRERA 45 X CALLE 129 SUR LA VARIANTE,DAÑOS,LA VARIANTE,INTERSECCION
8701,2011-08-17,7:30:00,MIERCOLES,ATROPELLO,CARRERA 45 X CALLE 134 SUR LA VARIANTE,HERIDOS,LA VARIANTE,INTERSECCION
8702,2011-08-17,12:40:00,MIERCOLES,ATROPELLO,CARRERA 50 X KILOMETRO 87 LA QUIEBRA,HERIDOS,LA QUIEBRA,TRAMO DE VIA
8703,2011-08-17,12:20:00,MIERCOLES,ATROPELLO,CARRERA 50 X KILOMETRO 51 VEREDA LA CLARA,HERIDOS,LA CLARA,TRAMO DE VIA
8704,2011-08-17,5:30:00,MIERCOLES,CHOQUE,CARRERA 50 X CALLE 133 SUR ESQUINA PITUFOS,HERIDOS,CENTRO,INTERSECCION
8705,2011-08-17,10:30:00,MIERCOLES,CHOQUE,CARRERA 50 X CALLE 107 SUR LA RAYA,DAÑOS,LA RAYA,TRAMO DE VIA
8706,2011-08-13,7:15:00,SABADO,ATROPELLO,CARRRERA 50 X KILOMETRO 54 VIA LA PINTADA MEDELLIN,HERIDOS,ALTO DE MINAS,TRAMO DE VIA
8707,2011-08-12,6:10:00,VIERNES,CHOQUE,CARRERA 50 X KILOMETRO 43,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8708,2011-08-12,3:10:00,VIERNES,CHOQUE,CARRERA 50 X KILOMETRO 90 + 800 LA MANSA PRIMEVERA,DAÑOS,PRIMAVERA,TRAMO DE VIA
8709,2011-08-15,4:05:00,LUNES,CHOQUE,CARRERA 50 X KILOEMTRO 45 VIA PINATADA MEDELLIN,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8710,2011-08-15,10:00:00,LUNES,CHOQUE,CARRERA 50 X KILOMETRO 89 VIA AMAGA CALDAS,DAÑOS,PRIMAVERA,TRAMO DE VIA
8711,2011-08-13,4:00:00,SABADO,CHOQUE,CARRERA 50 X KILOMETRO 94 LA TOLVA PRIMAVERA,DAÑOS,LA TOLVA,TRAMO DE VIA
8712,2011-08-17,1:30:00,MIERCOLES,CHOQUE,CARRERA 50 X KILOMETRO 45 + 750 MTS VIA LA PINTADA,DAÑOS,ALTO DE MINAS,TRAMO DE VIA
8713,2011-08-19,3:20:00,VIERNES,CHOQUE,CARRERA 45 X CALLE 117 SUR LA VARIANTE,HERIDOS,LA VARIANTE,TRAMO DE VIA
8714,2011-08-19,1:35:00,VIERNES,CHOQUE,CARRERA 49 X CALLE 129 SUR,HERIDOS,CENTRO,INTERSECCION
8715,2011-08-21,2:30:00,DOMINGO,CHOQUE,CARRERA 50 X CALLE 114 SUR 206,HERIDOS,LA RAYA,TRAMO DE VIA
8716,2011-08-20,6:30:00,SABADO,CHOQUE,CARRERA 50 X CALLE 136 SUR SECTOR EL CEMENTERIO,DAÑOS,CRISTO REY,TRAMO DE VIA
8717,2011-08-19,7:00:00,VIERNES,ATROPELLO,CARRERA 48 X CALLE 135 SUR HOSPITAL,HERIDOS,HOSPITAL,TRAMO DE VIA
